;;;;;;;;;;;;;;;;;;;;;;Container;20';40';40HQ;;;;;;;;;;;;;;
;RISING;;;;;;;;;;;;;;;;;;;;;m3 thÇorique;33;67,3;76;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;m3 rÇel;27;56;66;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Poids Max Kgs;24ˇ000;22ˇ500;22ˇ000;Pour un 20 pieds, si on met plus de 22T, on s'expose Ö des frais supplÇmentaires, car les camions sont plus rares et peuvent àtre plus couteux;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Poids du container;2,20;3,70;4,00;;;;;;;;;;;;;;
;FR;REF HLDP;REF;PRODUITS;PRODUCTS;MOQ;DETAILS;Client;QUANTITY;UNIT;UNIT PRICE;TOTAL AMOUNT;Packing details;m3;Poids;m3/unit;Poids/unit;Units/20';Units/40';Units/40HQ;LF;;;;;;;;;;;;;;;;;;Fournisseur
 ;WOHLSTAND;RFA339;1224-00;Barre LestÇe 4Kgs;Weighted bar;;4kg;LF;;PIECE;$6,40;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;RFA339;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA340;1224-00;Barre LestÇe 5Kgs;Weighted bar;;5kg;LF;;PIECE;$7,20;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;RFA340;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;STI585;1114-22;Barre Lyre Triceps ;OB34 Olympic Triceps Bar;; logo compris;LF;;PIECE;$25,50;;;;;0,0086944;15,00;SURPOIDS;SURPOIDS;SURPOIDS;;STI585;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;STW589;1114-25;Barre Olympique Droite 1,50M;150cm Olympic Straight Bar;;;LF;;PIECE;$26,56;;;;;0,033108;13,50;816;SURPOIDS;SURPOIDS; ;STW589;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;STW590;1114-27;Barre Olympique Droite 2,20M;Olympic Straight Bar 220cm;;;LF;;PIECE;$35,00;;;;;0,023699958;20,63;1ˇ139;SURPOIDS;SURPOIDS; ;STW590;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;STW669;1114-27;Barre Olympique Droite 2,40M;Olympic Straight Bar 240cm;;handle dia.30mm, capacity 700LB;LF;;PIECE;$37,15;;;;;0,03;20,63;900;SURPOIDS;SURPOIDS;#N/A;STW669;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;STW671;;Barre Olympique D'initiation;Initiation bar 200cm;;7,5kgs õ28mm handle diameter, max charge: 30kgs;LF;;PIECE;$22,60;;;;;0,02;8,00;1ˇ350;2ˇ800;SURPOIDS;;STW671;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW344;1226-11;Base A Picots;Inflatable Massage Cushion;;;LF;;PIECE;$3,10;;;;;0,009072;1,20;2ˇ976;6ˇ173;7ˇ275;;RFW344;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA610;1226-11;Base A Picots Grise;Inflatable Massage Cushion grey;;;LF;;PIECE;$3,10;;;;;0,009072;1,20;2ˇ976;6ˇ173;7ˇ275;;RFA610;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur ab wheel;Colorbox ab wheel;500;qtitÇ vendue: 150pcs;LF;;PIECE;$0,39;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur ab wheel;Colorbox ab wheel;1000;qtitÇ vendue: 150pcs;LF;;PIECE;$0,28;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur ab wheel pro;Colorbox ab wheel pro;500;qtitÇ vendue: 107pcs;LF;;PIECE;$1,07;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur ab wheel pro;Colorbox ab wheel pro;1000;qtitÇ vendue: 107pcs;LF;;PIECE;$0,78;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Anneau;Colorbox Gym Ring;500;qtitÇ vendue: 71pcs;LF;;PIECE;$0,42;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Boåte Couleur Anneau;Colorbox Gym Ring;1000;qtitÇ vendue: 71pcs;LF;;PIECE;$0,32;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;500pcs MOQ pour autre densitÇ;;;;;;;;;;;;;;WOHLSTAND;
